"id","question_text","category","difficulty","expected_answer","created_at","skills","question_type","source"
3156,How does the Faithfulness metric assess the quality of a RAG generator?,RAG (Retrieval-Augmented Generation),Intermediate,"The Faithfulness metric assesses the quality of a RAG generator by measuring how factually consistent the generated response is with the retrieved context. It is computed as the ratio of claims in the response that are supported by the retrieved context to the total number of claims.  

A score of 1 indicates all claims are fully supported, reflecting high factual accuracy. A score of 0 shows no claims are supported, indicating complete factual inconsistency. This metric ensures the RAG system generates reliable and contextually grounded responses.",2026-06-11 17:40:12.591,"{""Data Science"",""Natural Language Processing""}",Technical,github_rag_repo
3157,"Distinguish between Faithfulness and Context Precision metrics in RAG evaluation. Why might a system have high Context Precision but low Faithfulness, and what would this indicate about your pipeline?",RAG (Retrieaval-Augmented Generation),Advanced,"Faithfulness measures how factually consistent a RAG generator’s response is with the retrieved context. This metric is computed as the ratio of supported claims to total claims in the response. The Context Precision metric focuses on the prioritization of relevant information by evaluating how well a retriever ranks relevant chunks within the top K. 

A system might have high Context Precision but low Faithfulness if the retriever effectively ranks relevant chunks highly, but the generator introduces unsupported or contradictory claims not grounded in the context. This indicates a strong retrieval stage but a flawed generation stage, where the model fails to accurately interpret or utilize the retrieved information.",2026-06-11 17:40:12.591,"{""Data Science"",""Natural Language Processing""}",Technical,github_rag_repo
3158,A RAG system has high context precision but low faithfulness. How would you address this?,RAG (Retrieval-Augmented Generation),Intermediate,"A RAG system with high context precision and low faithfulness happens when the retriever is selecting relevant chunks accurately, but the generator is producing responses with unsupported claims. To address this, one should focus on improving the generator’s grounding and claim verification processes.

Use stronger cross-checking mechanisms like natural language inference models or fact-checking modules against the retrieved context. Additionally, tuning the generation prompts to encourage reliance on the context can help increase faithfulness.",2026-06-11 17:40:12.591,"{""Data Science"",""Natural Language Processing""}",Technical,github_rag_repo
3060,Explain the importance of chunking in RAG.,Natural Language Processing,Intermediate,"Chunking in Retrieval-Augmented Generation (RAG) is crucial because it breaks down large texts into smaller and semantically coherent segments called chunks. Proper chunking helps to find relevant information efficiently by creating focused chunks that maintain context and avoid irrelevant noise. 

Choosing the right chunk size balances detail and context, optimizing both retrieval accuracy and computational efficiency. Ineffective chunking can lead to poor retrieval results and incoherent responses, which makes it a foundational step for successful RAG performance in real-world applications.

☕ Support the Author
------------------------------------------------------------------------------------------
I hope you found this “RAG Interview Questions and Answers Hub”  highly useful.  

I’ve made this freely available to help the AI and NLP community grow and to support learners like you. If you found it helpful and would like to show your appreciation, you can buy me a coffee to keep me motivated in creating more free resources like this.

 [Buy Me a Coffee](https://ko-fi.com/kalyanksnlp)

Your small gesture goes a long way in supporting my work—thank you for being part of this journey! 🙏

— Kalyan KS

--------------------------------------------------------------------------------------------",2026-06-11 17:40:12.591,{NLP},Technical,github_rag_repo
3061,Why might a RAG system with perfect Context Recall still fail to produce accurate responses? How does the Faithfulness metric help diagnose this issue?,Natural Language Processing,Advanced,"Context recall evaluates the completeness of the retrieved context in a RAG pipeline. Perfect Context Recall means the retrieved context includes all the ground truth claims.  A RAG system with perfect Context Recall may still fail to produce accurate responses. This happens when the generator hallucinates and  includes claims unsupported by the retrieved context. 

The Faithfulness metric helps diagnose this issue by measuring how many claims in the generated response are factually supported by the retrieved context. A low or moderate faithfulness metric score indicates a less accurate response, i.e., the response includes unsupported claims.",2026-06-11 17:40:12.591,"{NLP,""Evaluation Metrics""}",Technical,github_rag_repo
3062,Explain how hallucinations in LLMs specifically impact the Faithfulness metric. What techniques could you implement to improve the Faithfulness metric score?,Natural Language Processing,Intermediate,"The faithfulness metric measures the proportion of claims in the response that are backed up by context.  Hallucinations reduce the faithfulness metric score by introducing unsupported claims in the generated response. These unsupported claims either contradict or have no basis in the provided context.

To improve Faithfulness scores, techniques such as incorporating natural language inference (NLI) or fact-checking models to verify claims, using prompt engineering to discourage unsupported generation, etc., can be used.",2026-06-11 17:40:12.591,{NLP},Technical,github_rag_repo
3068,What are the potential consequences of having chunks that are too large versus chunks that are too small?,N/A,Advanced,"Large chunks often mix different topics into one chunk and reduce the chunk's relevance. This can lead to coarse vector representations and less accurate retrieval. Large chunks can also add noise and confuse the model with irrelevant information that isn't important, resulting in a less accurate answer.

Small chunk sizes in RAG systems can lead to fragmented context. This fragmentation often leads to poor retrieval quality because information that is semantically related may be split up into chunks that are not retrieved together. Furthermore, smaller chunks mean that there are more chunks in the vector database, which increases storage costs and slows down the similarity search.",2026-06-11 17:40:12.591,"{""Data Science"",""Natural Language Processing""}",Technical,github_rag_repo
3069,Explain the retrieval process step-by-step in a RAG pipeline.,N/A,Intermediate,"The retrieval process in RAG systems starts by encoding the user query, i.e., converting it into a dense vector representation using an embedding model.  This vector representation is then used to search the vector database, which has the embeddings of chunks.  

Based on the similarity scores, the vector database system returns the most relevant document chunks. 

👨🏻‍💻 LLM Engineer Toolkit
-------------------------------------------------------------------------------------------
🤖 This repository contains a curated list of 120+ LLM, RAG and Agent related libraries category wise. 

 [Repo link](https://github.com/KalyanKS-NLP/llm-engineer-toolkit) 

This repository is highly useful for Data Scientists, AI/ML Engineers working with LLM, RAG and Agents. 

![LLM Engineer Toolkit](images/llm-engineer-toolkit.jpg)

--------------------------------------------------------------------------------------------",2026-06-11 17:40:12.591,"{""Data Science"",""Natural Language Processing""}",Technical,github_rag_repo
3070,What are the key considerations when choosing an LLM for a RAG system?,N/A,Advanced,"The key considerations when choosing an LLM for a RAG system are reading-comprehension ability, context window size, and inference speed. Reading-comprehension ability reflects how effectively the model processes the retrieved context to generate accurate responses. 

Context window size is crucial, as longer context models enable RAG systems to effectively include more relevant chunks. However, this must be balanced against cost and latency requirements. 

Additionally, inference speed, infrastructure compatibility, and licensing terms also play a key role in deployment decisions for real-world RAG solutions.",2026-06-11 17:40:12.591,"{""Data Science"",""Natural Language Processing""}",Technical,github_rag_repo
3108,How does hybrid search work in the context of RAG retrieval?,N/A,Intermediate,"Hybrid search in RAG systems combines keyword-based retrieval and semantic vector search to leverage the strengths of both methods. It uses a weighted formula to balance keyword relevance and semantic similarity scores. 

This allows precise matching on exact terms while also capturing conceptually related content.",2026-06-11 17:40:12.591,"{""Natural Language Processing""}",Technical,github_rag_repo
3073,What are the popular frameworks to implement a RAG system? Justify your choice of framework.,General Knowledge,Intermediate,"LangChain, LlamaIndex, and Haystack are the most popular frameworks for RAG implementation. LangChain is great for custom pipelines, and LlamaIndex is great for efficient document indexing and retrieval. The Haystack framework provides excellent modularity for building RAG systems.

I would recommend LangChain because of its comprehensive ecosystem, extensive documentation, active community support, and flexibility in handling various data sources and LLM integrations.",2026-06-11 17:40:12.591,{Technical},Technical,github_rag_repo
3074,Explain the influence of LLM context window size on RAG hyperparameters.,General Knowledge,Intermediate,"The size of the LLM context window has a big impact on RAG hyperparameters, like chunk size and the number of chunks that are retrieved. Larger context windows let you feed more retrieved chunks to the LLM, which increases the chance of including more relevant information. This could make the quality of the generated answers better. 

But after a certain point, performance gains start to go down because of problems like ""lost in the middle"" and higher latency.",2026-06-11 17:40:12.591,{Technical},Technical,github_rag_repo
3078,How do you handle ambiguous or vague user queries in RAG systems?,RAG,Intermediate,"Issues with ambiguous or vague user queries in RAG systems include retrieval of irrelevant information, incomplete answers, and increased risk of hallucination due to the lack of specificity. 

The most common strategy to handle ambiguous or vague user queries is query rewriting.  Query rewriting transforms unclear queries into precise and focused queries, thereby enhancing retrieval quality and leading to more accurate, grounded responses.

☕ Support the Author
------------------------------------------------------------------------------------------
I hope you found this “RAG Interview Questions and Answers Hub”  highly useful.  

I’ve made this freely available to help the AI and NLP community grow and to support learners like you. If you found it helpful and would like to show your appreciation, you can buy me a coffee to keep me motivated in creating more free resources like this.

 [Buy Me a Coffee](https://ko-fi.com/kalyanksnlp)

Your small gesture goes a long way in supporting my work—thank you for being part of this journey! 🙏

— Kalyan KS

--------------------------------------------------------------------------------------------",2026-06-11 17:40:12.591,"{""Query Handling""}",Technical,github_rag_repo
3079,What are the different query transformation techniques that enhance user queries in RAG?,RAG,Intermediate,"Different query transformation techniques in RAG include query rewriting, query expansion, query decomposition, and HyDE to enhance retrieval relevance and context precision. 

Query Rewriting: Rewrites the initial user query to make it more specific and detailed, boosting retrieval accuracy.

Query Expansion using Step-Back Prompting: Generates a broader, generalized version of the query.

Query Decomposition: Divides complex queries into simpler sub-queries to ensure comprehensive coverage and more precise retrieval for each component question.

HyDE (Hypothetical Document Embedding): Synthesizes a hypothetical answer to the query and uses it as a retrieval query to get more relevant document chunks.",2026-06-11 17:40:12.591,"{""Query Transformation Techniques""}",Technical,github_rag_repo
3080,What are the pros and cons of query transformation techniques?,RAG,Advanced,"Query transformation techniques in RAG systems offer significant advantages, such as improved retrieval accuracy leading to more relevant and contextually accurate responses. 

However, their downsides include increased computational cost, added latency, and potential noise from overexpansion. Over expansion risks retrieving noisy or off-topic documents, while complex methods like query decomposition require careful handling to ensure subqueries align with the original intent. 

Some strategies may also require substantial prompt engineering and continuous optimization to match diverse query scenarios. Balancing effectiveness and efficiency is critical to avoid diminishing returns.",2026-06-11 17:40:12.591,"{""Query Transformation Techniques"",""Computational Cost"",Latency}",Technical,github_rag_repo
3083,Compare HyPE and HyDE techniques in RAG.,Natural Language Processing,Intermediate,"HyDE (Hypothetical Document Embedding) and HyPE (Hypothetical Prompt Embedding) enhance RAG by addressing the semantic gap between user queries and document chunks, but they differ in approach.

Timing: HyPE generates hypothetical questions during indexing, while HyDE generates hypothetical answer documents at query time.

Efficiency: HyPE reduces runtime latency by avoiding LLM calls during retrieval, unlike HyDE, which requires an LLM call per query.

Focus: HyPE focuses on question-question matching, while HyDE focuses on answer-answer matching.

While HyDE is flexible for diverse queries, HyPE’s pre-indexed approach is more efficient for real-time applications.",2026-06-11 17:40:12.591,"{""Natural Language Processing""}",Technical,github_rag_repo
3084,"To minimize RAG system latency, which pre-retrieval enhancement technique will you choose?",Natural Language Processing,Intermediate,"To minimize RAG system latency, I would choose the HyPE (Hypothetical Prompt Embedding) technique. Unlike query transformation techniques such as query rewriting, query expansion, query decomposition, or HyDE, which require LLM calls at query time and increase latency, HyPE precomputes hypothetical questions for document chunks during the indexing phase. 

This question-to-question matching approach reduces runtime latency by avoiding real-time LLM calls, making it more efficient for real-time applications while maintaining high retrieval accuracy. By shifting the computational effort to indexing, HyPE ensures faster and more precise document retrieval.",2026-06-11 17:40:12.591,"{""Natural Language Processing""}",Technical,github_rag_repo
3088,What are some common chunking methods used in RAG?,RAG,Intermediate,"Common chunking methods used in RAG are fixed-size chunking, recursive chunking, semantic chunking, and agentic chunking. 

Fixed-size chunking divides text into uniform segments based on a predefined token or character length, often incorporating overlap to maintain context. 

Recursive chunking iteratively splits text using natural separators like paragraphs or sentences to preserve logical boundaries. Semantic chunking groups text based on semantic similarity using embeddings, creating coherent, meaning-based chunks. 

Agentic chunking leverages AI agents to dynamically segment text into task-oriented, semantically coherent chunks, often with metadata to enhance retrieval relevance.",2026-06-11 17:40:12.591,"{""Understanding RAG Concepts""}",Technical,github_rag_repo
3089,What are the criteria to choose a specific chunking method in RAG?,RAG,Intermediate,"The criteria for choosing a specific chunking method in RAG include the nature and structure of the source documents, capabilities of the embedding model, and the specific task or application needs.  

For structured or well-formatted data, semantic or agentic chunking ensures logical boundaries and context preservation. The chunk size must balance between being large enough to capture meaningful context and small enough to fit within model constraints for efficient processing. 

Task specificity matters since complex tasks may require semantic or agentic chunking for better context and relevance, while simpler cases can use fixed-size chunking. 

Ultimately, the chunking method should balance retrieval relevance, context completeness, and computational efficiency.",2026-06-11 17:40:12.591,"{""Understanding RAG Concepts"",""Problem Solving""}",Technical,github_rag_repo
3093,What happens with a weak retriever in Retrieval-Augmented Generation (RAG) systems?,Machine Learning,Intermediate,"A weak retriever in RAG systems leads to the retrieval of irrelevant or noisy document chunks. This can significantly degrade the quality of generated answers, as the RAG generator relies heavily on the retrieved context. The presence of irrelevant or noisy document chunks in the context because of poor retrieval causes the generator model to produce answers that are inaccurate or hallucinated while still appearing fluent. 

Therefore, strong retrievers are necessary to provide the most relevant context and ensure factual and relevant outputs in RAG systems.

👨🏻‍💻 LLM Engineer Toolkit
-------------------------------------------------------------------------------------------
🤖 This repository contains a curated list of 120+ LLM, RAG and Agent related libraries category wise. 

 [Repo link](https://github.com/KalyanKS-NLP/llm-engineer-toolkit) 

This repository is highly useful for Data Scientists, AI/ML Engineers working with LLM, RAG and Agents. 

![LLM Engineer Toolkit](images/llm-engineer-toolkit.jpg)

--------------------------------------------------------------------------------------------",2026-06-11 17:40:12.591,"{""Machine Learning""}",Technical,github_rag_repo
3094,What are effective strategies to reduce latency in RAG systems?,Machine Learning,Intermediate,"Caching, embedding quantization, selective query rewriting, and selective re-ranking are some of the ways to reduce RAG latency. Caching stores retrieved results or generated responses to avoid redundant computation. Embedding quantization to lower bit precision reduces memory and computational load, speeding up retrieval. 

Selective query rewriting enhances recall and relevance by refining queries prior to retrieval, primarily utilized for complex or ambiguous queries. Selective re-ranking is only used for complicated queries, which cuts down on unnecessary computation for simpler ones.",2026-06-11 17:40:12.591,"{""Machine Learning""}",Technical,github_rag_repo
3095,"Explain R, A, and G in RAG.",Machine Learning,Advanced,"RAG stands for Retrieval-Augmented Generation. The ""R"" or Retrieval, refers to the process of searching and fetching the most relevant information from external knowledge sources for the given user query. 

The ""A"" or Augmented, involves including the retrieved relevant context in the LLM prompt having the user query and instructions so that the LLM can generate a response based on the provided context.  

Finally, the ""G"" or Generation is the phase during which the generator LLM processes the prompt having instructions, a query, and context to generate a response that is coherent, accurate, and contextually relevant.",2026-06-11 17:40:12.591,"{""Machine Learning""}",Technical,github_rag_repo
3103,Explain the role of ANN (Approximate Nearest Neighbor) search algorithms in RAG retrieval.,Data Science,Intermediate,"Approximate Nearest Neighbor (ANN) search algorithms play a crucial role in RAG retrieval by enabling fast and scalable search of relevant document chunks within large vector databases.  Approximate Nearest Neighbor (ANN) algorithms enable fast search in RAG retrieval by quickly narrowing down the search space to a small subset of candidate vectors instead of scanning all vectors. 

This reduces the number of comparisons needed, significantly speeding up retrieval while maintaining good enough accuracy for relevant document chunks matching. This balance of speed and precision is crucial for real-time and large-scale RAG systems.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3104,Explain the step-by-step working of ANN algorithms for fast search in RAG retrieval.,Data Science,Intermediate,"ANN algorithms for fast search in RAG retrieval involve four steps namely - Encoding, Indexing, Navigating, Retrieving. 

(i) Encoding: Convert document chunks and queries into vector representations.

(ii) Indexing: Organize these vectors into a specialized data structure (like graphs or hash tables) for quick lookup.

(iii) Navigating: Efficiently explore the index to find vectors close to the query without checking all data points. 

(iv) Retrieving: Return the closest approximate neighbors that provide relevant information for RAG retrieval. 

This approach balances search speed and accuracy, enabling fast retrieval in large-scale RAG systems.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3105,"What are the typical distance metrics used for similarity search in vector databases, and why are they chosen?",Data Science,Intermediate,"Typical distance metrics used in vector databases for similarity search are Euclidean distance, cosine similarity, and dot product similarity. Euclidean distance measures the straight-line distance between vectors, making it intuitive for geometric closeness. Cosine similarity evaluates the angle between vectors, focusing on their direction (meaning) rather than magnitude. 

Dot product similarity considers both magnitude and direction. These metrics are selected based on the data type and the underlying embedding model to ensure effective and accurate retrieval.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3106,Explain why cosine similarity is preferred over other distance metrics in RAG retrieval.,Data Science,Intermediate,"Cosine similarity is preferred in RAG retrieval because it measures the angle between vectors, focusing on their direction (meaning) rather than magnitude. This makes it effective for textual data where the meaning lies more in the direction of the embedding than its length. 

Unlike Euclidean distance or dot product, cosine similarity is invariant to vector length, providing stable and interpretable similarity scores. This helps RAG systems retrieve relevant document chunks even when text lengths vary, improving accuracy and consistency in semantic search.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3107,Compare keyword-based retrieval and semantic retrieval in RAG systems.,Data Science,Intermediate,"Keyword-based retrieval in RAG systems relies on the exact or partial matching of keywords in a query to fetch relevant document chunks. This  offers high precision for queries with specific terms but may miss semantically related information. In contrast, semantic retrieval uses embeddings to understand the meaning behind the query and retrieves conceptually relevant content even when keywords differ.

Combining both methods can balance precision and semantic understanding for effective retrieval in RAG systems.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3115,What advantages does quantization offer over dimensionality reduction for scaling embeddings?,RAG Retrieval,Intermediate,"Quantization offers several advantages over dimensionality reduction for scaling embeddings in RAG retrieval. It compresses embeddings by reducing the precision of numerical values (e.g., from float32 to int8 or float8), achieving up to 4x storage reduction with minimal performance loss. 

Unlike dimensionality reduction, which may discard important features and degrade accuracy, quantization preserves the full dimensionality of embeddings, maintaining richer semantic information. Additionally, quantization accelerates computation on hardware optimized for lower-precision formats, improving retrieval speed. 

This makes it particularly effective for large-scale RAG systems where storage and latency are critical, while dimensionality reduction risks compromising retrieval quality.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3116,Explain the pros and cons of quantized embeddings in RAG retrieval.,RAG Retrieval,Intermediate,"Quantized embeddings in RAG systems offer significant benefits such as drastically reduced memory requirements and much faster retrieval speeds. This makes RAG retrieval more efficient and scalable when dealing with large knowledge bases. 

However, the trade-off is a slight drop in retrieval accuracy or relevance. Additionally, quantization effectiveness can vary depending on the embedding model. 

Overall, quantized embeddings enable cost-effective, high-speed retrieval but require managing a controlled trade-off between resource savings and accuracy.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3117,Compare scalar and binary quantization for embeddings in RAG retrieval.,RAG Retrieval,Advanced,"Scalar quantization in RAG retrieval compresses embeddings by reducing the bit precision (commonly to int8), offering a moderate 4x reduction in memory usage while maintaining a good balance between retrieval accuracy and speed. 

Binary quantization, on the other hand, converts embeddings to 1-bit vectors, achieving up to 32x compression and significantly faster retrieval but at the cost of greater accuracy loss.  

Overall, scalar quantization suits use cases prioritizing accuracy with some compression, while binary quantization excels in large-scale, speed-critical scenarios where maximal memory efficiency outweighs some loss of precision.

☕ Support the Author
------------------------------------------------------------------------------------------
I hope you found this “RAG Interview Questions and Answers Hub”  highly useful.  

I’ve made this freely available to help the AI and NLP community grow and to support learners like you. If you found it helpful and would like to show your appreciation, you can buy me a coffee to keep me motivated in creating more free resources like this.

 [Buy Me a Coffee](https://ko-fi.com/kalyanksnlp)

Your small gesture goes a long way in supporting my work—thank you for being part of this journey! 🙏

— Kalyan KS

--------------------------------------------------------------------------------------------",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3120,What are the different types of re-ranker models that can be used in RAG?,Re-Ranker Models in RAG,Intermediate,"The different types of re-ranker models used in Retrieval-Augmented Generation (RAG) are

Cross-Encoder Rerankers: These models jointly encode the query and document chunk pair to produce a highly accurate relevance score, offering nuanced understanding of relationships but with medium computational cost.

Multi-Vector or Late Interaction Models: Such as ColBERT, they encode queries and document chunks separately but perform fine-grained interaction later, balancing efficiency and performance with lower cost.

Large Language Model (LLM) Rerankers: Utilize powerful LLMs to reason about query-document chunk relevance, achieving great accuracy but incurring high computational overhead.

These models vary in their performance and computational cost, and choice depends on the application's accuracy and latency requirements.",2026-06-11 17:40:12.591,"{""Information Retrieval"",NLP}",Technical,github_rag_repo
3121,Compare general re-rankers and instruction-following re-rankers in RAG.,RAG Systems,Intermediate,"General re-rankers in RAG systems primarily focus on re-ranking retrieved document chunks just based on their semantic relevance to the user query. 

In contrast, instruction-following re-rankers go a step further by dynamically adjusting rankings based on additional user-provided instructions such as document recency, source reliability, or metadata criteria.",2026-06-11 17:40:12.591,"{""Information Retrieval"",NLP}",Technical,github_rag_repo
3125,"If your RAG system serves both simple factual queries and complex analytical questions, how would you decide when to bypass the re-ranker for efficiency while maintaining quality?",RAG Systems,Intermediate,"To decide when to bypass the re-ranker in a RAG system, queries should be classified based on complexity. Simple factual queries like ""What is the capital of France?""  require straightforward and well-known answers. Re-ranker can be skipped for simple factual queries, as the initial retrieval is likely to yield highly relevant results. 

For complex analytical questions, such as those requiring synthesis or reasoning across multiple chunks, the re-ranker should be used to ensure the most relevant chunks are prioritized.",2026-06-11 17:40:12.591,"{""Information Retrieval"",""Query Optimization""}",Technical,github_rag_repo
3126,Describe the vector pre-computation and storage strategy in a bi-encoder + cross-encoder pipeline. Why can't cross-encoders pre-compute text representations like bi-encoders can?,RAG Systems,Advanced,"The RAG pipeline leverages bi-encoders for fast retrieval and cross-encoders for the precise reranking of top candidates.

Bi-encoders pre-compute chunk representations by encoding them into fixed-size dense vectors offline and then storing them in a vector database for efficient retrieval. 

Cross-encoders, however, cannot pre-compute chunk representations because they jointly encode query-chunk pairs, capturing intricate interactions through attention mechanisms, requiring both inputs at inference time to produce a relevance score.",2026-06-11 17:40:12.591,"{Vectorization,""Encoder Design"",""Text Representation""}",Technical,github_rag_repo
